iter	Accuracy	Logloss
0	0.7485446722	0.6488393877
1	0.7695520121	0.6129384864
2	0.7781574285	0.5814357071
3	0.7760060744	0.5577519893
4	0.7829663376	0.5373052654
5	0.7790432802	0.5220064747
6	0.7857504429	0.5092919457
7	0.7861300936	0.4978116135
8	0.7899266009	0.4890591123
9	0.7906859023	0.4773956656
10	0.7937231081	0.4724984987
11	0.79473551	0.4641809279
12	0.7951151607	0.4595078216
13	0.7967603138	0.4531240437
14	0.7987851177	0.4487877611
15	0.7994178689	0.4457193797
16	0.7990382182	0.4411872168
17	0.7990382182	0.4382207367
18	0.7999240699	0.4358600423
19	0.8000506201	0.4323327833
20	0.801569223	0.4280956726
21	0.8039736775	0.4265310628
22	0.8043533283	0.4240014905
23	0.8043533283	0.4215165481
24	0.8046064288	0.4199540044
25	0.8053657302	0.4183251712
26	0.8059984814	0.4166185264
27	0.8065046824	0.4149103851
28	0.8065046824	0.4139865563
29	0.8075170843	0.411766365
30	0.8090356872	0.4094634961
31	0.8097949886	0.4070878297
32	0.8097949886	0.4058433813
33	0.8116932422	0.4042511265
34	0.8121994432	0.4028288109
35	0.8123259934	0.4017683848
36	0.8121994432	0.4010656202
37	0.8134649456	0.3998989874
38	0.8132118451	0.3991596412
39	0.814730448	0.3983445288
40	0.8143507973	0.3973824101
41	0.8149835485	0.395620785
42	0.8146038977	0.3948214067
43	0.8156162997	0.3943413665
44	0.8170083523	0.3932157384
45	0.8166287016	0.3925143995
46	0.8167552518	0.391787189
47	0.8172614528	0.3907703926
48	0.817894204	0.390017639
49	0.8181473045	0.3888518942
50	0.818400405	0.3881070905
51	0.8196659074	0.3874198125
52	0.8190331562	0.3869942821
53	0.8191597064	0.3862261288
54	0.8195393571	0.385307508
55	0.8196659074	0.3846725979
56	0.8201721083	0.3841885622
57	0.8200455581	0.3837449799
58	0.8200455581	0.3831421855
59	0.8195393571	0.3823241567
60	0.8201721083	0.3816521908
61	0.82105796	0.3811191355
62	0.8225765629	0.3801316285
63	0.8224500127	0.3794152965
64	0.8229562136	0.3785277102
65	0.8239686155	0.3775824428
66	0.824221716	0.3770314708
67	0.8238420653	0.3763721908
68	0.824221716	0.3755610644
69	0.8243482663	0.3749607598
70	0.8243482663	0.3747894481
71	0.8244748165	0.3744480953
72	0.8244748165	0.3740611522
73	0.8246013667	0.3735995538
74	0.8246013667	0.3730911783
75	0.824727917	0.3722179074
76	0.8248544672	0.3717792009
77	0.8248544672	0.371290723
78	0.824727917	0.3706634496
79	0.824727917	0.3701545397
80	0.8252341179	0.3696593332
81	0.8254872184	0.3693126688
82	0.8253606682	0.368976584
83	0.8258668691	0.3684107686
84	0.8256137687	0.3678158363
85	0.8254872184	0.3670789595
86	0.8252341179	0.3663932104
87	0.8257403189	0.3657799033
88	0.8262465199	0.3650282239
89	0.8268792711	0.364478626
90	0.8272589218	0.3639658434
91	0.8272589218	0.363429287
92	0.8277651228	0.362926987
93	0.827891673	0.3622530482
94	0.8282713237	0.3616158992
95	0.8291571754	0.361267658
96	0.8282713237	0.3604243895
97	0.8287775247	0.359565877
98	0.8286509744	0.3590209443
99	0.8299164768	0.3584266754
100	0.8299164768	0.3581067355
101	0.8297899266	0.3576227769
102	0.8300430271	0.3571958981
103	0.8301695773	0.3563438997
104	0.830549228	0.3558799182
105	0.8308023285	0.3553190249
106	0.8309288788	0.3549011696
107	0.8323209314	0.3536611728
108	0.8325740319	0.3531945622
109	0.8333333333	0.3525099045
110	0.8338395343	0.3520182282
111	0.8344722855	0.3515005168
112	0.8343457353	0.3509714888
113	0.834219185	0.3497164473
114	0.8353581372	0.3491313392
115	0.8356112377	0.3485666776
116	0.8367501898	0.3480276678
117	0.8363705391	0.3475136337
118	0.8362439889	0.3470634802
119	0.8367501898	0.3465794447
120	0.8367501898	0.3462319604
121	0.8368767401	0.3456887546
122	0.8375094913	0.3451756942
123	0.837889142	0.3447326457
124	0.8377625917	0.3442593375
125	0.8390280942	0.3436005956
126	0.8390280942	0.3429712594
127	0.8395342951	0.3420083477
128	0.8397873956	0.3413888842
129	0.8399139458	0.3409755388
130	0.8401670463	0.340558054
131	0.8411794482	0.3399723373
132	0.8418121994	0.3392829634
133	0.841559099	0.338800253
134	0.8424449506	0.3381441315
135	0.8428246014	0.3377153592
136	0.8434573526	0.3367124432
137	0.8440901038	0.336291871
138	0.844216654	0.3358537218
139	0.8448494052	0.3352178649
140	0.8448494052	0.3349079273
141	0.8449759555	0.33427248
142	0.8448494052	0.3336448369
143	0.8456087067	0.3331602429
144	0.8453556062	0.3323973716
145	0.8456087067	0.3319626456
146	0.8453556062	0.3310483158
147	0.8456087067	0.3305964897
148	0.8459883574	0.3301294459
149	0.8461149076	0.3298302956
150	0.8458618071	0.329480168
151	0.8461149076	0.3287568934
152	0.8464945583	0.3283891077
153	0.8464945583	0.3279332705
154	0.8472538598	0.3275568368
155	0.8470007593	0.3272555742
156	0.8475069603	0.3266412062
157	0.8476335105	0.3263142452
158	0.8476335105	0.3260511431
159	0.84738041	0.3257823691
160	0.8477600607	0.3253876465
161	0.8485193622	0.3250151752
162	0.8486459124	0.3245957635
163	0.8490255631	0.3241151392
164	0.8491521134	0.3238136803
165	0.8494052139	0.3234395854
166	0.8502910656	0.3229269123
167	0.850544166	0.3226606626
168	0.8504176158	0.322265509
169	0.8516831182	0.3215316944
170	0.8524424196	0.3210760407
171	0.8521893192	0.3206014337
172	0.8514300177	0.3200595394
173	0.8514300177	0.3197511852
174	0.8518096684	0.3195178349
175	0.851556568	0.3191385083
176	0.8520627689	0.3186883163
177	0.8520627689	0.3181070162
178	0.8526955201	0.3177693235
179	0.8523158694	0.3175069615
