iter	Passed	Remaining
0	1	345
1	3	347
2	5	343
3	6	339
4	8	350
5	10	349
6	13	359
7	15	369
8	17	371
9	20	383
10	22	391
11	25	404
12	28	404
13	30	404
14	32	402
15	34	398
16	36	398
17	39	395
18	41	395
19	43	392
20	46	392
21	48	390
22	50	388
23	52	387
24	54	383
25	57	382
26	59	381
27	61	379
28	63	377
29	66	374
30	68	371
31	70	369
32	72	368
33	75	368
34	77	366
35	80	364
36	82	361
37	84	360
38	87	361
39	89	359
40	92	356
41	94	357
42	97	355
43	99	353
44	102	351
45	104	349
46	106	346
47	108	344
48	110	341
49	112	338
50	115	336
51	117	334
52	119	332
53	121	329
54	124	328
55	126	325
56	128	323
57	131	321
58	133	318
59	135	316
60	137	314
61	139	311
62	142	310
63	144	307
64	146	304
65	148	301
66	150	299
67	153	298
68	155	295
69	158	294
70	161	292
71	163	290
72	165	287
73	167	285
74	170	283
75	172	281
76	174	279
77	176	276
78	179	274
79	181	272
80	183	270
81	185	267
82	187	264
83	190	262
84	192	260
85	194	257
86	196	255
87	199	253
88	201	251
89	204	249
90	206	247
91	209	245
92	211	243
93	214	241
94	216	238
95	219	237
96	221	234
97	223	232
98	225	230
99	228	228
100	230	225
101	232	223
102	234	220
103	237	218
104	239	216
105	242	214
106	244	212
107	246	209
108	248	207
109	250	205
110	252	202
111	255	200
112	257	198
113	259	195
114	262	193
115	264	191
116	267	189
117	269	187
118	272	185
119	274	182
120	277	180
121	279	178
122	281	176
123	283	174
124	286	171
125	288	169
126	292	168
127	294	165
128	296	163
129	299	161
130	301	158
131	304	156
132	306	154
133	308	152
134	311	149
135	313	147
136	316	145
137	318	143
138	321	140
139	323	138
140	325	136
141	327	133
142	329	131
143	332	129
144	334	126
145	336	124
146	339	122
147	342	120
148	344	117
149	346	115
150	348	113
151	350	110
152	353	108
153	355	106
154	358	103
155	360	101
156	363	99
157	365	97
158	367	94
159	369	92
160	372	90
161	374	87
162	376	85
163	378	83
164	381	80
165	383	78
166	385	76
167	388	73
168	391	71
169	394	69
170	396	67
171	398	64
172	400	62
173	403	60
174	405	57
175	408	55
176	410	53
177	412	51
178	414	48
179	417	46
180	419	44
181	422	41
182	426	39
183	428	37
184	430	34
185	432	32
186	435	30
187	437	27
188	439	25
189	442	23
190	444	20
191	446	18
192	448	16
193	451	13
194	453	11
195	455	9
196	457	6
197	459	4
198	462	2
199	464	0
